"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bouwen en wonen/Woningvoorraad/Voorraad op 1 januari (aantal)";"Onderwijs/Naar schoolgemeente/Leerlingen/Basisonderwijs (aantal)"
"2008";"Stein (L.)";26091;11275;2092
"2009";"Stein (L.)";25865;11296;2046
"2010";"Stein (L.)";25673;11308;2027
"2011";"Stein (L.)";25709;11427;1984
"2012";"Stein (L.)";25623;11330;1867
"2013";"Stein (L.)";25431;11347;1798
"2014";"Stein (L.)";25390;11623;1719
"2015";"Stein (L.)";25134;11572;1646
"2016";"Stein (L.)";25064;11614;1548
"2017";"Stein (L.)";25059;11669;1509
"2018";"Stein (L.)";24987;11690;1436
"2019";"Stein (L.)";24961;11768;1375
"2020";"Stein (L.)";25007;11800;1365
"2021";"Stein (L.)";24875;11812;1378
"2022";"Stein (L.)";24803;11808;
"2000";"Stichtse Vecht";;;
"2001";"Stichtse Vecht";;;
"2002";"Stichtse Vecht";;;
"2003";"Stichtse Vecht";;;
"2004";"Stichtse Vecht";;;
"2005";"Stichtse Vecht";;;
"2006";"Stichtse Vecht";;;
"2007";"Stichtse Vecht";;;
"2008";"Stichtse Vecht";;;
"2009";"Stichtse Vecht";;;
"2010";"Stichtse Vecht";;;
"2011";"Stichtse Vecht";63050;25633;6050
"2012";"Stichtse Vecht";63315;26617;5987
"2013";"Stichtse Vecht";63491;26732;5973
"2014";"Stichtse Vecht";63856;27284;5948
"2015";"Stichtse Vecht";63943;27368;5979
"2016";"Stichtse Vecht";64061;27561;6004
"2017";"Stichtse Vecht";64450;27858;5980
"2018";"Stichtse Vecht";64513;28121;5883
"2019";"Stichtse Vecht";64336;28206;5821
"2020";"Stichtse Vecht";64931;28549;5808
"2021";"Stichtse Vecht";65108;28739;5660
"2022";"Stichtse Vecht";65240;28814;
"2000";"Stramproy";;;
"2001";"Stramproy";;;
"2002";"Stramproy";;;
"2003";"Stramproy";;;
"2004";"Stramproy";;;
"2005";"Stramproy";;;
"2006";"Stramproy";;;
"2007";"Stramproy";;;
"2008";"Stramproy";;;
"2009";"Stramproy";;;
"2010";"Stramproy";;;
"2011";"Stramproy";;;
"2012";"Stramproy";;;
"2013";"Stramproy";;;
"2014";"Stramproy";;;
"2015";"Stramproy";;;
"2016";"Stramproy";;;
"2017";"Stramproy";;;
"2018";"Stramproy";;;
"2019";"Stramproy";;;
"2020";"Stramproy";;;
"2021";"Stramproy";;;
"2022";"Stramproy";;;
"2000";"Strijen";9501;3708;902
"2001";"Strijen";9389;3704;858
"2002";"Strijen";9314;3712;861
"2003";"Strijen";9253;3714;884
"2004";"Strijen";9312;3723;868
"2005";"Strijen";9259;3723;859
"2006";"Strijen";9195;3723;869
"2007";"Strijen";9129;3720;884
"2008";"Strijen";9055;3802;858
"2009";"Strijen";8972;3799;824
"2010";"Strijen";8916;3826;775
"2011";"Strijen";8868;3830;711
"2012";"Strijen";8848;3849;655
"2013";"Strijen";8777;3828;630
"2014";"Strijen";8683;3848;591
"2015";"Strijen";8716;3877;550
"2016";"Strijen";8766;3908;534
"2017";"Strijen";8785;3933;547
"2018";"Strijen";8793;3951;565
"2019";"Strijen";;;
"2020";"Strijen";;;
"2021";"Strijen";;;
"2022";"Strijen";;;
"2000";"Súdwest-Fryslân";;;
"2001";"Súdwest-Fryslân";;;
"2002";"Súdwest-Fryslân";;;
"2003";"Súdwest-Fryslân";;;
"2004";"Súdwest-Fryslân";;;
"2005";"Súdwest-Fryslân";;;
"2006";"Súdwest-Fryslân";;;
"2007";"Súdwest-Fryslân";;;
"2008";"Súdwest-Fryslân";;;
"2009";"Súdwest-Fryslân";;;
"2010";"Súdwest-Fryslân";;;
"2011";"Súdwest-Fryslân";82445;35825;8181
"2012";"Súdwest-Fryslân";82634;36706;7955
"2013";"Súdwest-Fryslân";82639;37852;7749
"2014";"Súdwest-Fryslân";84180;38448;7761
"2015";"Súdwest-Fryslân";84164;38939;7540
"2016";"Súdwest-Fryslân";84048;39013;7295
"2017";"Súdwest-Fryslân";84158;39117;7219
"2018";"Súdwest-Fryslân";89594;41599;7523
"2019";"Súdwest-Fryslân";89710;41915;7350
"2020";"Súdwest-Fryslân";89987;42119;7224
"2021";"Súdwest-Fryslân";89999;42501;7062
"2022";"Súdwest-Fryslân";90300;42788;
"2000";"Susteren";13081;5155;1186
"2001";"Susteren";13034;5178;1179
"2002";"Susteren";13035;5220;1221
"2003";"Susteren";;;
"2004";"Susteren";;;
"2005";"Susteren";;;
"2006";"Susteren";;;
"2007";"Susteren";;;
"2008";"Susteren";;;
"2009";"Susteren";;;
"2010";"Susteren";;;
"2011";"Susteren";;;
"2012";"Susteren";;;
"2013";"Susteren";;;
"2014";"Susteren";;;
"2015";"Susteren";;;
"2016";"Susteren";;;
"2017";"Susteren";;;
"2018";"Susteren";;;
"2019";"Susteren";;;
"2020";"Susteren";;;
"2021";"Susteren";;;
"2022";"Susteren";;;
"2000";"Swalmen";8590;3492;755
"2001";"Swalmen";8612;3515;749
"2002";"Swalmen";8627;3581;734
"2003";"Swalmen";8687;3609;715
"2004";"Swalmen";8764;3644;677
"2005";"Swalmen";8812;3679;669
"2006";"Swalmen";8844;3715;665
"2007";"Swalmen";;;
"2008";"Swalmen";;;
"2009";"Swalmen";;;
"2010";"Swalmen";;;
"2011";"Swalmen";;;
"2012";"Swalmen";;;
"2013";"Swalmen";;;
"2014";"Swalmen";;;
"2015";"Swalmen";;;
"2016";"Swalmen";;;
"2017";"Swalmen";;;
"2018";"Swalmen";;;
"2019";"Swalmen";;;
"2020";"Swalmen";;;
"2021";"Swalmen";;;
"2022";"Swalmen";;;
"2000";"Tegelen";19326;7697;1867
"2001";"Tegelen";;;
"2002";"Tegelen";;;
"2003";"Tegelen";;;
"2004";"Tegelen";;;
"2005";"Tegelen";;;
"2006";"Tegelen";;;
"2007";"Tegelen";;;
"2008";"Tegelen";;;
"2009";"Tegelen";;;
"2010";"Tegelen";;;
"2011";"Tegelen";;;
"2012";"Tegelen";;;
"2013";"Tegelen";;;
"2014";"Tegelen";;;
"2015";"Tegelen";;;
"2016";"Tegelen";;;
"2017";"Tegelen";;;
"2018";"Tegelen";;;
"2019";"Tegelen";;;
"2020";"Tegelen";;;
"2021";"Tegelen";;;
"2022";"Tegelen";;;
"2000";"Terheijden";;;
"2001";"Terheijden";;;
"2002";"Terheijden";;;
"2003";"Terheijden";;;
"2004";"Terheijden";;;
"2005";"Terheijden";;;
"2006";"Terheijden";;;
"2007";"Terheijden";;;
"2008";"Terheijden";;;
"2009";"Terheijden";;;
"2010";"Terheijden";;;
"2011";"Terheijden";;;
"2012";"Terheijden";;;
"2013";"Terheijden";;;
"2014";"Terheijden";;;
"2015";"Terheijden";;;
"2016";"Terheijden";;;
"2017";"Terheijden";;;
"2018";"Terheijden";;;
"2019";"Terheijden";;;
"2020";"Terheijden";;;
"2021";"Terheijden";;;
"2022";"Terheijden";;;
"2000";"Terneuzen";34539;15650;3409
"2001";"Terneuzen";34498;15502;3391
"2002";"Terneuzen";34572;15582;3341
"2003";"Terneuzen";55520;24872;4996
"2004";"Terneuzen";55412;24898;4965
"2005";"Terneuzen";55361;25027;4895
"2006";"Terneuzen";55414;25204;4810
"2007";"Terneuzen";55268;25342;4769
"2008";"Terneuzen";55155;25552;4702
"2009";"Terneuzen";55149;25774;4594
"2010";"Terneuzen";54878;25991;4455
"2011";"Terneuzen";54823;25964;4305
"2012";"Terneuzen";54742;25924;4154
"2013";"Terneuzen";54729;26102;4017
"2014";"Terneuzen";54709;26287;3871
"2015";"Terneuzen";54577;26359;3836
"2016";"Terneuzen";54657;26675;3814
"2017";"Terneuzen";54588;26754;3763
"2018";"Terneuzen";54440;26812;3698
"2019";"Terneuzen";54589;26952;3655
"2020";"Terneuzen";54426;26966;3632
"2021";"Terneuzen";54463;27080;3625
"2022";"Terneuzen";54501;27188;
"2000";"Terschelling";4723;1891;411
"2001";"Terschelling";4768;1923;413
"2002";"Terschelling";4769;1922;421
"2003";"Terschelling";4723;1934;445
"2004";"Terschelling";4725;1934;446
"2005";"Terschelling";4731;1956;448
"2006";"Terschelling";4729;1967;432
"2007";"Terschelling";4707;2013;430
"2008";"Terschelling";4705;2054;418
"2009";"Terschelling";4740;2056;415
"2010";"Terschelling";4733;2056;401
"2011";"Terschelling";4721;2063;394
"2012";"Terschelling";4748;2156;385
"2013";"Terschelling";4795;2210;364
"2014";"Terschelling";4780;2213;343
"2015";"Terschelling";4827;2222;317
"2016";"Terschelling";4870;2229;312
"2017";"Terschelling";4859;2243;315
"2018";"Terschelling";4906;2276;333
"2019";"Terschelling";4890;2281;323
"2020";"Terschelling";4888;2293;317
"2021";"Terschelling";4870;2293;320
"2022";"Terschelling";4960;2301;
"2000";"Teteringen";;;
"2001";"Teteringen";;;
"2002";"Teteringen";;;
"2003";"Teteringen";;;
"2004";"Teteringen";;;
"2005";"Teteringen";;;
"2006";"Teteringen";;;
"2007";"Teteringen";;;
"2008";"Teteringen";;;
"2009";"Teteringen";;;
"2010";"Teteringen";;;
"2011";"Teteringen";;;
"2012";"Teteringen";;;
"2013";"Teteringen";;;
"2014";"Teteringen";;;
"2015";"Teteringen";;;
"2016";"Teteringen";;;
"2017";"Teteringen";;;
"2018";"Teteringen";;;
"2019";"Teteringen";;;
"2020";"Teteringen";;;
"2021";"Teteringen";;;
"2022";"Teteringen";;;
"2000";"Texel";13425;5595;1474
"2001";"Texel";13535;5660;1467
"2002";"Texel";13728;5698;1468
"2003";"Texel";13825;5753;1438
"2004";"Texel";13735;5760;1420
"2005";"Texel";13739;5800;1421
"2006";"Texel";13708;5842;1420
"2007";"Texel";13618;5905;1379
"2008";"Texel";13547;5958;1372
"2009";"Texel";13691;6030;1352
"2010";"Texel";13779;6063;1310
"2011";"Texel";13728;6105;1238
"2012";"Texel";13668;6249;1154
"2013";"Texel";13662;6281;1069
"2014";"Texel";13552;6401;1038
"2015";"Texel";13581;6405;977
"2016";"Texel";13574;6470;963
"2017";"Texel";13545;6501;953
"2018";"Texel";13584;6552;924
"2019";"Texel";13547;6594;913
"2020";"Texel";13575;6651;901
"2021";"Texel";13656;6770;879
"2022";"Texel";13687;6936;
"2000";"Teylingen";;;
"2001";"Teylingen";;;
"2002";"Teylingen";;;
"2003";"Teylingen";;;
"2004";"Teylingen";;;
"2005";"Teylingen";;;
"2006";"Teylingen";34683;13622;3740
"2007";"Teylingen";35008;13773;3801
"2008";"Teylingen";35308;14009;3813
"2009";"Teylingen";35533;14153;3802
"2010";"Teylingen";35759;14388;3748
"2011";"Teylingen";35812;14376;3624
"2012";"Teylingen";35686;14339;3505
"2013";"Teylingen";35800;14346;3367
"2014";"Teylingen";35735;14687;3253
"2015";"Teylingen";35646;14716;3185
"2016";"Teylingen";36013;14952;3034
"2017";"Teylingen";36093;15096;2938
"2018";"Teylingen";36584;15515;2972
"2019";"Teylingen";37061;15588;2941
"2020";"Teylingen";37440;16048;2921
"2021";"Teylingen";37791;16286;2899
"2022";"Teylingen";37942;16396;
"2000";"Tholen";23618;9216;2802
"2001";"Tholen";23763;9261;2862
"2002";"Tholen";23884;9293;2851
"2003";"Tholen";23990;9298;2891
"2004";"Tholen";24386;9456;2885
"2005";"Tholen";24676;9604;2908
"2006";"Tholen";24892;9710;2948
"2007";"Tholen";25155;9817;2919
"2008";"Tholen";25264;10017;2829
"2009";"Tholen";25368;10066;2813
"2010";"Tholen";25410;10197;2746
"2011";"Tholen";25489;10221;2677
"2012";"Tholen";25540;10352;2649
"2013";"Tholen";25514;10413;2613
"2014";"Tholen";25408;10515;2502
"2015";"Tholen";25440;10597;2494
"2016";"Tholen";25421;10626;2495
"2017";"Tholen";25527;10729;2450
"2018";"Tholen";25583;10777;2460
"2019";"Tholen";25780;10888;2449
"2020";"Tholen";25757;10983;2414
"2021";"Tholen";26085;11112;2422
"2022";"Tholen";26401;11188;
"2000";"Thorn";2591;1059;196
"2001";"Thorn";2602;1063;206
"2002";"Thorn";2584;1073;213
"2003";"Thorn";2543;1076;206
"2004";"Thorn";2528;1076;211
"2005";"Thorn";2598;1081;210
"2006";"Thorn";2583;1081;205
"2007";"Thorn";;;
"2008";"Thorn";;;
"2009";"Thorn";;;
"2010";"Thorn";;;
"2011";"Thorn";;;
"2012";"Thorn";;;
"2013";"Thorn";;;
"2014";"Thorn";;;
"2015";"Thorn";;;
"2016";"Thorn";;;
"2017";"Thorn";;;
"2018";"Thorn";;;
"2019";"Thorn";;;
"2020";"Thorn";;;
"2021";"Thorn";;;
"2022";"Thorn";;;
"2000";"Tiel";38326;15206;4005
"2001";"Tiel";39608;15691;4281
"2002";"Tiel";40205;15786;4332
"2003";"Tiel";40515;15848;4302
"2004";"Tiel";40609;15900;4327
"2005";"Tiel";40542;15962;4390
"2006";"Tiel";40966;16391;4414
"2007";"Tiel";41191;16548;4450
"2008";"Tiel";41132;16650;4405
"2009";"Tiel";41070;16657;4362
"2010";"Tiel";41192;16857;4246
"2011";"Tiel";41181;17158;4170
"2012";"Tiel";41527;17320;4050
"2013";"Tiel";41751;17446;3913
"2014";"Tiel";41775;17521;3757
"2015";"Tiel";41590;17654;3629
"2016";"Tiel";41510;17682;3515
"2017";"Tiel";41488;17839;3394
"2018";"Tiel";41465;17902;3334
"2019";"Tiel";41978;18011;3266
"2020";"Tiel";42159;18080;3163
"2021";"Tiel";41920;18271;3089
"2022";"Tiel";42277;18435;
"2000";"Tilburg";193116;80650;17352
"2001";"Tilburg";195819;81948;17409
"2002";"Tilburg";197358;82507;17363
"2003";"Tilburg";197917;82757;17317
"2004";"Tilburg";198767;82902;17339
"2005";"Tilburg";199068;83628;17291
"2006";"Tilburg";200380;84986;17243
"2007";"Tilburg";201259;85827;17326
"2008";"Tilburg";202091;86976;17410
"2009";"Tilburg";203464;88270;17390
"2010";"Tilburg";204853;89501;17254
"2011";"Tilburg";206240;89808;17096
"2012";"Tilburg";207580;90698;16964
"2013";"Tilburg";208527;91012;16816
"2014";"Tilburg";210270;94072;16746
"2015";"Tilburg";211648;95264;16751
"2016";"Tilburg";212941;95779;16629
"2017";"Tilburg";213804;96235;16445
"2018";"Tilburg";215521;97612;16288
"2019";"Tilburg";217259;99004;16143
"2020";"Tilburg";219789;100418;15984
"2021";"Tilburg";221947;102471;15812
"2022";"Tilburg";224459;103968;
"2000";"Tubbergen";19938;6401;2598
"2001";"Tubbergen";20022;6450;2580
"2002";"Tubbergen";20161;6506;2614
"2003";"Tubbergen";20262;6536;2624
"2004";"Tubbergen";20298;6602;2521
"2005";"Tubbergen";20508;6667;2688
"2006";"Tubbergen";20601;6723;2716
"2007";"Tubbergen";20724;6855;2754
"2008";"Tubbergen";20797;7164;2767
"2009";"Tubbergen";20992;7219;2757
"2010";"Tubbergen";21145;7382;2699
"2011";"Tubbergen";21171;7475;2637
"2012";"Tubbergen";21206;7866;2570
"2013";"Tubbergen";21172;8045;2437
"2014";"Tubbergen";21206;8113;2330
"2015";"Tubbergen";21142;8167;2198
"2016";"Tubbergen";21120;8247;2096
"2017";"Tubbergen";21153;8348;1985
"2018";"Tubbergen";21213;8490;1960
"2019";"Tubbergen";21276;8525;1833
"2020";"Tubbergen";21275;8604;1800
"2021";"Tubbergen";21315;8720;1795
"2022";"Tubbergen";21364;8732;
"2000";"Twenterand";;;
"2001";"Twenterand";;;
"2002";"Twenterand";;;
"2003";"Twenterand";33427;11871;3354
"2004";"Twenterand";33493;11863;3476
"2005";"Twenterand";33549;12054;3479
"2006";"Twenterand";33438;12092;3514
"2007";"Twenterand";33461;12186;3577
"2008";"Twenterand";33461;12489;3628
"2009";"Twenterand";33605;12625;3658
"2010";"Twenterand";33580;12642;3664
"2011";"Twenterand";33727;12758;3649
"2012";"Twenterand";33929;13097;3599
"2013";"Twenterand";33971;13124;3555
"2014";"Twenterand";33929;13488;3530
"2015";"Twenterand";33874;13574;3450
"2016";"Twenterand";33846;13609;3373
"2017";"Twenterand";33845;13621;3324
"2018";"Twenterand";33903;13664;3228
"2019";"Twenterand";33792;13705;3153
"2020";"Twenterand";33743;13819;3074
"2021";"Twenterand";33699;13847;2946
"2022";"Twenterand";33718;13931;
"2000";"Tynaarlo";31508;12697;3256
"2001";"Tynaarlo";31752;12793;3284
"2002";"Tynaarlo";31865;12874;3270
"2003";"Tynaarlo";31998;12934;3250
"2004";"Tynaarlo";32203;12985;3266
"2005";"Tynaarlo";32301;13028;3267
"2006";"Tynaarlo";31977;13032;3206
"2007";"Tynaarlo";31731;13029;3190
"2008";"Tynaarlo";31974;13285;3190
"2009";"Tynaarlo";32236;13338;3318
"2010";"Tynaarlo";32408;13471;3300
"2011";"Tynaarlo";32450;13495;3241
"2012";"Tynaarlo";32357;14119;3169
"2013";"Tynaarlo";32456;13989;3158
"2014";"Tynaarlo";32493;13983;3155
"2015";"Tynaarlo";32570;13857;3140
"2016";"Tynaarlo";32804;13958;3154
"2017";"Tynaarlo";33280;14119;3202
"2018";"Tynaarlo";33462;14211;3251
"2019";"Tynaarlo";33698;14403;3265
"2020";"Tynaarlo";33887;14500;3281
"2021";"Tynaarlo";33978;14596;3281
"2022";"Tynaarlo";34221;14672;
"2000";"Tytsjerksteradiel";31037;12124;3098
"2001";"Tytsjerksteradiel";31049;12239;3116
"2002";"Tytsjerksteradiel";31413;12485;3114
"2003";"Tytsjerksteradiel";31696;12582;3172
"2004";"Tytsjerksteradiel";31963;12704;3157
"2005";"Tytsjerksteradiel";32016;12781;3180
"2006";"Tytsjerksteradiel";32142;12898;3215
"2007";"Tytsjerksteradiel";32322;12950;3190
"2008";"Tytsjerksteradiel";32243;13044;3228
"2009";"Tytsjerksteradiel";32211;13141;3177
"2010";"Tytsjerksteradiel";32237;13189;3162
"2011";"Tytsjerksteradiel";32178;13223;3121
"2012";"Tytsjerksteradiel";32164;13621;3033
"2013";"Tytsjerksteradiel";31979;13252;3058
"2014";"Tytsjerksteradiel";31973;13457;2990
"2015";"Tytsjerksteradiel";31957;13553;2957
"2016";"Tytsjerksteradiel";32077;13646;2842
"2017";"Tytsjerksteradiel";31963;13730;2745
"2018";"Tytsjerksteradiel";31870;13800;2683
"2019";"Tytsjerksteradiel";31780;13943;2682
"2020";"Tytsjerksteradiel";32052;14044;2600
"2021";"Tytsjerksteradiel";32060;14093;2579
"2022";"Tytsjerksteradiel";32282;14121;
"2000";"Ubbergen";9264;3779;763
"2001";"Ubbergen";9275;3787;785
"2002";"Ubbergen";9261;3779;802
"2003";"Ubbergen";9250;3855;825
"2004";"Ubbergen";9362;3892;866
"2005";"Ubbergen";9462;3919;830
"2006";"Ubbergen";9401;3963;843
"2007";"Ubbergen";9369;3966;838
"2008";"Ubbergen";9325;3965;852
"2009";"Ubbergen";9366;4034;863
"2010";"Ubbergen";9333;4065;870
"2011";"Ubbergen";9358;4081;858
"2012";"Ubbergen";9387;4066;825
"2013";"Ubbergen";9504;4212;806
"2014";"Ubbergen";9451;4283;770
"2015";"Ubbergen";;;
"2016";"Ubbergen";;;
"2017";"Ubbergen";;;
"2018";"Ubbergen";;;
"2019";"Ubbergen";;;
"2020";"Ubbergen";;;
"2021";"Ubbergen";;;
"2022";"Ubbergen";;;
"2000";"Uden";39607;15595;4192
"2001";"Uden";39922;15740;4163
"2002";"Uden";40014;15876;4113
"2003";"Uden";40113;15925;4070
"2004";"Uden";40064;15948;4103
"2005";"Uden";40183;16084;4144
"2006";"Uden";40201;16281;4169
"2007";"Uden";40203;16363;4019
"2008";"Uden";40126;16476;4022
"2009";"Uden";40360;16525;3983
"2010";"Uden";40536;16898;3914
"2011";"Uden";40721;17048;3852
"2012";"Uden";40805;17266;3807
"2013";"Uden";40948;17472;3785
"2014";"Uden";40913;17782;3669
"2015";"Uden";41089;17988;3585
"2016";"Uden";41247;18110;3544
"2017";"Uden";41384;18253;3468
"2018";"Uden";41725;18474;3426
"2019";"Uden";41782;18669;3385
"2020";"Uden";42119;19018;3398
"2021";"Uden";42291;19107;3411
"2022";"Uden";;;
"2000";"Udenhout";;;
"2001";"Udenhout";;;
"2002";"Udenhout";;;
"2003";"Udenhout";;;
"2004";"Udenhout";;;
"2005";"Udenhout";;;
"2006";"Udenhout";;;
"2007";"Udenhout";;;
"2008";"Udenhout";;;
"2009";"Udenhout";;;
"2010";"Udenhout";;;
"2011";"Udenhout";;;
"2012";"Udenhout";;;
"2013";"Udenhout";;;
"2014";"Udenhout";;;
"2015";"Udenhout";;;
"2016";"Udenhout";;;
"2017";"Udenhout";;;
"2018";"Udenhout";;;
"2019";"Udenhout";;;
"2020";"Udenhout";;;
"2021";"Udenhout";;;
"2022";"Udenhout";;;
"2000";"Uitgeest";11312;4441;1213
"2001";"Uitgeest";11669;4534;1286
"2002";"Uitgeest";11768;4567;1293
"2003";"Uitgeest";11772;4571;1307
"2004";"Uitgeest";11783;4589;1341
"2005";"Uitgeest";11787;4607;1333
"2006";"Uitgeest";11915;4732;1419
"2007";"Uitgeest";12061;4830;1447
"2008";"Uitgeest";12205;4945;1423
"2009";"Uitgeest";12434;5061;1411
"2010";"Uitgeest";12664;5090;1383
"2011";"Uitgeest";12819;5179;1359
"2012";"Uitgeest";12897;5221;1344
"2013";"Uitgeest";13061;5327;1322
"2014";"Uitgeest";13234;5473;1264
"2015";"Uitgeest";13291;5520;1266
"2016";"Uitgeest";13360;5548;1239
"2017";"Uitgeest";13465;5606;1166
"2018";"Uitgeest";13520;5619;1176
"2019";"Uitgeest";13528;5633;1154
"2020";"Uitgeest";13666;5713;1136
"2021";"Uitgeest";13632;5728;1104
"2022";"Uitgeest";13563;5729;
"2000";"Uithoorn";26090;10842;2605
"2001";"Uithoorn";26237;11013;2687
"2002";"Uithoorn";26423;11059;2780
"2003";"Uithoorn";26680;11170;2811
"2004";"Uithoorn";26763;11205;2861
"2005";"Uithoorn";26969;11267;2885
"2006";"Uithoorn";26844;11287;2921
"2007";"Uithoorn";26977;11455;2934
"2008";"Uithoorn";27501;11724;2960
"2009";"Uithoorn";27660;11916;2922
"2010";"Uithoorn";28053;12046;2805
"2011";"Uithoorn";28114;12074;2746
"2012";"Uithoorn";28307;12279;2746
"2013";"Uithoorn";28387;12393;2675
"2014";"Uithoorn";28418;12571;2587
"2015";"Uithoorn";28731;12603;2514
"2016";"Uithoorn";29181;12837;2471
"2017";"Uithoorn";29201;12771;2465
"2018";"Uithoorn";29445;12948;2484
"2019";"Uithoorn";29424;12856;2436
"2020";"Uithoorn";29478;12836;2480
"2021";"Uithoorn";30206;13264;2499
"2022";"Uithoorn";31018;13514;
"2000";"Urk";15719;4435;2836
"2001";"Urk";16231;4618;2846
"2002";"Urk";16489;4712;2843
"2003";"Urk";16748;4740;2831
"2004";"Urk";17044;4902;2854
"2005";"Urk";17262;5053;2876
"2006";"Urk";17458;5067;2852
"2007";"Urk";17585;5124;2885
"2008";"Urk";17825;5166;2836
"2009";"Urk";18062;5291;2838
"2010";"Urk";18310;5450;2818
"2011";"Urk";18678;5570;2832
"2012";"Urk";18950;5375;2884
"2013";"Urk";19225;5429;2920
"2014";"Urk";19470;5996;2973
"2015";"Urk";19705;6110;3011
"2016";"Urk";19987;6198;3041
"2017";"Urk";20220;6309;3115
"2018";"Urk";20524;6381;3112
"2019";"Urk";20776;6472;3104
"2020";"Urk";21031;6663;3084
"2021";"Urk";21227;6763;3034
"2022";"Urk";21468;6857;
"2000";"Utrecht (gemeente)";233667;102110;17864
"2001";"Utrecht (gemeente)";256420;111852;20173
"2002";"Utrecht (gemeente)";260625;114116;20260
"2003";"Utrecht (gemeente)";265151;115893;20631
"2004";"Utrecht (gemeente)";270244;117019;21143
"2005";"Utrecht (gemeente)";275258;118194;21688
"2006";"Utrecht (gemeente)";280949;120790;22606
"2007";"Utrecht (gemeente)";288401;123424;23662
"2008";"Utrecht (gemeente)";294737;126516;24566
"2009";"Utrecht (gemeente)";299891;128955;25553
"2010";"Utrecht (gemeente)";307081;132197;26383
"2011";"Utrecht (gemeente)";311367;133441;27052
"2012";"Utrecht (gemeente)";316275;142977;27859
"2013";"Utrecht (gemeente)";321916;145124;28516
"2014";"Utrecht (gemeente)";328164;146329;29170
"2015";"Utrecht (gemeente)";334176;147511;29496
"2016";"Utrecht (gemeente)";338967;149322;29898
"2017";"Utrecht (gemeente)";343038;151409;30075
"2018";"Utrecht (gemeente)";347483;150831;30240
"2019";"Utrecht (gemeente)";352866;153845;30181
"2020";"Utrecht (gemeente)";357597;156678;30064
"2021";"Utrecht (gemeente)";359370;159671;29668
"2022";"Utrecht (gemeente)";361699;162451;
"2000";"Utrechtse Heuvelrug";;;
"2001";"Utrechtse Heuvelrug";;;
"2002";"Utrechtse Heuvelrug";;;
"2003";"Utrechtse Heuvelrug";;;
"2004";"Utrechtse Heuvelrug";;;
"2005";"Utrechtse Heuvelrug";;;
"2006";"Utrechtse Heuvelrug";48957;19758;4749
"2007";"Utrechtse Heuvelrug";48846;19758;4810
"2008";"Utrechtse Heuvelrug";48979;19896;4886
"2009";"Utrechtse Heuvelrug";48893;19903;4836
"2010";"Utrechtse Heuvelrug";48801;19916;4819
"2011";"Utrechtse Heuvelrug";48726;19936;4734
"2012";"Utrechtse Heuvelrug";48267;21205;4545
"2013";"Utrechtse Heuvelrug";48092;21144;4367
"2014";"Utrechtse Heuvelrug";47951;21358;4254
"2015";"Utrechtse Heuvelrug";48183;21055;4139
"2016";"Utrechtse Heuvelrug";48506;21216;4083
"2017";"Utrechtse Heuvelrug";49035;21516;4100
"2018";"Utrechtse Heuvelrug";49314;21636;4059
"2019";"Utrechtse Heuvelrug";49515;21679;4132
"2020";"Utrechtse Heuvelrug";49580;21821;4160
"2021";"Utrechtse Heuvelrug";49946;21890;4148
"2022";"Utrechtse Heuvelrug";49981;22066;
"2000";"Vaals";10821;4569;663
"2001";"Vaals";10838;4574;669
"2002";"Vaals";10732;4597;662
"2003";"Vaals";10628;4624;627
"2004";"Vaals";10423;4645;624
"2005";"Vaals";10229;4657;617
"2006";"Vaals";10068;4661;586
"2007";"Vaals";9959;4579;573
"2008";"Vaals";9838;4631;559
"2009";"Vaals";9825;4710;536
"2010";"Vaals";9870;4753;518
"2011";"Vaals";9805;4782;499
"2012";"Vaals";9749;5157;492
"2013";"Vaals";9771;5192;474
"2014";"Vaals";9685;5229;473
"2015";"Vaals";9694;5238;470
"2016";"Vaals";9632;5241;466
"2017";"Vaals";9710;5555;463
"2018";"Vaals";9874;5524;451
"2019";"Vaals";10092;5748;462
"2020";"Vaals";10105;5806;473
"2021";"Vaals";10084;5822;463
"2022";"Vaals";10135;5851;
"2000";"Valburg";13301;4864;1439
"2001";"Valburg";;;
"2002";"Valburg";;;
"2003";"Valburg";;;
"2004";"Valburg";;;
"2005";"Valburg";;;
"2006";"Valburg";;;
"2007";"Valburg";;;
"2008";"Valburg";;;
"2009";"Valburg";;;
"2010";"Valburg";;;
"2011";"Valburg";;;
"2012";"Valburg";;;
"2013";"Valburg";;;
"2014";"Valburg";;;
"2015";"Valburg";;;
"2016";"Valburg";;;
"2017";"Valburg";;;
"2018";"Valburg";;;
"2019";"Valburg";;;
"2020";"Valburg";;;
"2021";"Valburg";;;
"2022";"Valburg";;;
"2000";"Valkenburg (ZH.)";3607;1258;580
"2001";"Valkenburg (ZH.)";3748;1322;576
"2002";"Valkenburg (ZH.)";3763;1324;572
"2003";"Valkenburg (ZH.)";3768;1327;566
"2004";"Valkenburg (ZH.)";3813;1328;575
"2005";"Valkenburg (ZH.)";3881;1378;566
"2006";"Valkenburg (ZH.)";;;
"2007";"Valkenburg (ZH.)";;;
"2008";"Valkenburg (ZH.)";;;
"2009";"Valkenburg (ZH.)";;;
"2010";"Valkenburg (ZH.)";;;
"2011";"Valkenburg (ZH.)";;;
